id,key,value,type
24424921,SWBD_facc_code,bh080,regular
24424921,ele,1517,regular
24424921,natural,water,regular
24424921,source,SWBD,regular
24424923,SWBD_facc_code,bh080,regular
24424923,ele,1041,regular
24424923,natural,water,regular
24424923,source,SWBD,regular
24425016,SWBD_facc_code,bh080,regular
24425016,ele,1247,regular
24425016,natural,water,regular
24425016,source,SWBD,regular
24425036,SWBD_facc_code,bh080,regular
24425036,ele,970,regular
24425036,natural,water,regular
24425036,source,SWBD,regular
24425036,water,reservoir,regular
24425046,ele,1103,regular
24425046,natural,water,regular
24425048,SWBD_facc_code,bh080,regular
24425048,ele,956,regular
24425048,natural,water,regular
24425048,source,SWBD,regular
24425057,waterway,weir,regular
24425075,SWBD_facc_code,bh080,regular
24425075,ele,1288,regular
24425075,natural,water,regular
24425075,source,SWBD,regular
24425095,SWBD_facc_code,bh080,regular
24425095,ele,1258,regular
24425095,natural,water,regular
24425095,source,SWBD,regular
24425104,SWBD_facc_code,bh080,regular
24425104,ele,1266,regular
24425104,natural,water,regular
24425104,source,SWBD,regular
24425167,source,Sentinel-2 20161006,regular
24425196,SWBD_facc_code,bh080,regular
24425196,ele,1400,regular
24425196,natural,water,regular
24425196,source,SWBD,regular
24425210,SWBD_facc_code,bh080,regular
24425210,ele,957,regular
24425210,natural,water,regular
24425210,source,SWBD,regular
24425221,SWBD_facc_code,bh080,regular
24425221,ele,1239,regular
24425221,natural,water,regular
24425221,source,SWBD,regular
24425257,SWBD_facc_code,bh080,regular
24425257,ele,896,regular
24425257,natural,water,regular
24425257,source,SWBD,regular
24425260,SWBD_facc_code,bh080,regular
24425260,ele,799,regular
24425260,natural,water,regular
24425260,source,SWBD,regular
24425338,SWBD_facc_code,bh080,regular
24425338,ele,1332,regular
24425338,natural,water,regular
24425338,source,SWBD,regular
24425367,SWBD_facc_code,bh080,regular
24425367,ele,1341,regular
24425367,natural,water,regular
24425367,source,SWBD,regular
24425403,SWBD_facc_code,bh080,regular
24425403,ele,963,regular
24425403,natural,water,regular
24425403,source,SWBD,regular
24425409,SWBD_facc_code,bh080,regular
24425409,code,BFE11200043,regular
24425409,ele,1547,regular
24425409,name,倒天河水库,regular
24425409,en,Daotianhe Reservoir,name
24425409,zh,倒天河水库,name
24425409,zh_pinyin,dăotiānhé shuĭkù,name
24425409,natural,water,regular
24425409,source,SWBD,regular
24425439,SWBD_facc_code,bh080,regular
24425439,ele,1449,regular
24425439,natural,water,regular
24425439,source,SWBD,regular
24425564,SWBD_facc_code,bh080,regular
24425564,ele,1232,regular
24425564,natural,water,regular
24425564,source,SWBD,regular
24425589,SWBD_facc_code,bh080,regular
24425589,ele,1301,regular
24425589,natural,water,regular
24425589,source,SWBD,regular
24425636,SWBD_facc_code,bh080,regular
24425636,ele,789,regular
24425636,natural,water,regular
24425636,source,SWBD,regular
24425649,SWBD_facc_code,bh080,regular
24425649,ele,1268,regular
24425649,int_name,Guijiahu Shuiku,regular
24425649,natural,water,regular
24425649,source,SWBD,regular
24425661,SWBD_facc_code,bh080,regular
24425661,ele,1684,regular
24425661,name,Limin Reservoir,regular
24425661,natural,water,regular
24425661,source,SWBD,regular
24425737,SWBD_facc_code,bh080,regular
24425737,ele,1256,regular
24425737,natural,water,regular
24425737,source,SWBD,regular
24425758,SWBD_facc_code,bh080,regular
24425758,ele,899,regular
24425758,natural,water,regular
24425758,source,SWBD,regular
24425759,SWBD_facc_code,bh080,regular
24425759,ele,836,regular
24425759,natural,water,regular
24425759,source,SWBD,regular
24425780,SWBD_facc_code,bh080,regular
24425780,ele,1248,regular
24425780,natural,water,regular
24425780,source,SWBD,regular
24425862,SWBD_facc_code,bh080,regular
24425862,ele,942,regular
24425862,natural,water,regular
24425862,source,SWBD,regular
24425877,ele,876,regular
24425877,natural,water,regular
24425877,water,lake,regular
